BillNo,Date,Customer,Discount 5%,Discount 12%,Discount 18%,Discount 28%
ZA8225,04-04-2017,"SOUTHERN MEDICALS, KOZHENCHERY",#N/A,#N/A,#N/A,1
ZA8203,04-04-2017,"MGM MUTHOOT MEDICAL CENTER PRIVATE LTD., PATHENAMTHITTA",#N/A,#N/A,#N/A,1
ZA8228,04-04-2017,"ST.GEORGE MEDICALS, KOZHENCHERY",#N/A,#N/A,#N/A,1
ZA8207,04-04-2017,"HAFZA MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8244,04-04-2017,"KALLATHUCHIRAYIL MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8241,04-04-2017,"SAFEL MEDICALS, RANNY",#N/A,#N/A,#N/A,1
ZA8220,04-04-2017,"PAZHANJIYIL MEDICALS, KOZHENCHERY",#N/A,#N/A,#N/A,1
ZA8234,04-04-2017,"TRAVANCORE MEDICALS, PULLAD",#N/A,#N/A,#N/A,1
ZA8223,04-04-2017,"ST.MARY'S HOSPITAL, ERAVIPEROOR",#N/A,#N/A,#N/A,1
ZA8227,04-04-2017,"FRIENDS MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8205,04-04-2017,"TRAVANCORE MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8231,04-04-2017,"SIMON GEORGE & SONS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8209,04-04-2017,"KURUNGATTU MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8226,04-04-2017,"JOSE & SONS MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8210,04-04-2017,"MANNAR MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8222,04-04-2017,"MOOTHEDATHU MEDICALS, ERAVIPEROOR",#N/A,#N/A,#N/A,1
ZA8217,04-04-2017,"KOODATHUMANNIL MEDICALS, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8204,04-04-2017,"SONIA MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8230,04-04-2017,"FELLOWSHIP MISSION HOSPITAL, KUMBANAD",#N/A,#N/A,#N/A,1
ZA8213,04-04-2017,"MAMMARAPALLIL MEDICALS, PULLAD ",#N/A,#N/A,#N/A,1
ZA8215,04-04-2017,"JACOBS MEDICALS, KUMBANAD",#N/A,#N/A,#N/A,1
ZA8214,04-04-2017,"PREETHI MEDICALS, ELENTHOOR",#N/A,#N/A,#N/A,1
ZA8221,04-04-2017,"JINI MEDICALS, MARAMON",#N/A,#N/A,#N/A,1
ZA8263,05-04-2017,"NEETHY MEDICAL STORE, KARUKACHAL",#N/A,#N/A,#N/A,1
ZA8260,05-04-2017,"PUSHPAGIRI MEDICAL SOCIETY, PUSHPAGIRI MEDICAL COLLEGE",#N/A,#N/A,1,#N/A
ZA8250,05-04-2017,"NEETHI MEDICALS, MALLAPPALLY",#N/A,#N/A,#N/A,1
ZA8245,05-04-2017,"CENTURY HOSPITAL, CENTRAL TRAVANCORE SPECIALISTS ",#N/A,#N/A,#N/A,1
ZA8246,05-04-2017,"KADAVIL MEDICALS, MANNAR",#N/A,#N/A,1,#N/A
ZA8261,05-04-2017,"P.S.SURGICAL, CHENGANOOR",#N/A,#N/A,1,#N/A
ZA8258,05-04-2017,"CHERUPUSHPAM J.J. MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8266,05-04-2017,"AMIL MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8253,05-04-2017,"S.D MEDICALS, CHENGANNUR",#N/A,#N/A,#N/A,1
ZA8256,05-04-2017,"JOSE & SONS MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8249,05-04-2017,"NEETHI MEDICALS, MALLAPPALLY",#N/A,#N/A,#N/A,1
ZA8257,05-04-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,#N/A,#N/A,1
ZA8264,05-04-2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8251,05-04-2017,"NEETHI MEDICALS, MALLAPPALLY",#N/A,#N/A,#N/A,1
ZA8247,05-04-2017,"NEETHI MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8255,05-04-2017,"NEETHI MEDICALS, CENTRAL JN:CHANGANASSERY",#N/A,#N/A,#N/A,1
ZA8259,05-04-2017,"BELIEVERS CHURCH CITY CLINIC, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8265,05-04-2017,"JAI MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8254,05-04-2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8262,05-04-2017,"JAYA MEDICALS, POOVATHOOR",#N/A,#N/A,#N/A,1
ZA8252,05-04-2017,"CENTRAL MEDICALS, THADIYOOR",#N/A,#N/A,#N/A,1
ZA8248,05-04-2017,"CENTURY HOSPITAL, CENTRAL TRAVANCORE SPECIALISTS ",#N/A,#N/A,#N/A,1
ZA8268,07-04-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,#N/A,1,#N/A
ZA8272,07-04-2017,"KADAVIL MEDICALS, MANNAR",#N/A,#N/A,#N/A,1
ZA8270,07-04-2017,"MENAMTHOTTAM HOSPITAL, RANNY",#N/A,#N/A,#N/A,1
ZA8277,07-04-2017,"S.N.MEDICALS, KADAPRA",#N/A,#N/A,#N/A,1
ZA8278,07-04-2017,"MEPRASSARIL MEDICALS, VALANJAVATTAM",#N/A,#N/A,#N/A,1
ZA8273,07-04-2017,"DEEPTHI MEDICALS, MANNAR",#N/A,#N/A,#N/A,1
ZA8269,07-04-2017,"MEDICAL TRUST HOSPITAL, KULANADA",#N/A,#N/A,#N/A,1
ZA8279,07-04-2017,"ST.GREGORIOUS HOSPITAL, PARUMALA",#N/A,#N/A,#N/A,1
ZA8276,07-04-2017,"NEETHI MEDICAL STORES, MANNAR",#N/A,#N/A,#N/A,1
ZA8271,07-04-2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8280,07-04-2017,"UDAYAGIRI HOSPITAL, CHANGANACHERRY",#N/A,#N/A,#N/A,1
ZA8267,07-04-2017,"ZZZNEETHI MEDICAL STORE, ",#N/A,#N/A,#N/A,1
ZA8275,07-04-2017,"MARANGAT MEDICALS, KAVUMBHAGOM",#N/A,#N/A,#N/A,1
ZA8274,07-04-2017,"MANNAR MEDICALS, MANNAR",#N/A,#N/A,#N/A,1
ZA8281,07-04-2017,"C.M HOSPITAL, PANDALAM",#N/A,#N/A,#N/A,1
ZA8292,08-04-2017,"MARIA HOSPITAL, ADOOR",#N/A,#N/A,1,#N/A
ZA8283,08-04-2017,"THE UNIVERSAL MEDICAL STORES, CHENGANOOR",#N/A,#N/A,1,#N/A
ZA8294,08-04-2017,"VAZHAPLAVIL MEDICALS, PANDALAM",#N/A,#N/A,1,#N/A
ZA8315,08-04-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,#N/A,1,#N/A
ZA8287,08-04-2017,"ORMA MEDICALS, ADOOR",#N/A,#N/A,#N/A,1
ZA8305,08-04-2017,"KARUNYA MEDICALS, CHENGANOOR",#N/A,#N/A,#N/A,1
ZA8286,08-04-2017,"ATHIRA MEDICALS, PALLIPADI, KARAKKAD",#N/A,#N/A,#N/A,1
ZA8295,08-04-2017,"ANJALI MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8296,08-04-2017,"AISWARYA MEDICALS, KUTOOR",#N/A,#N/A,#N/A,1
ZA8289,08-04-2017,"S.D MEDICALS, CHENGANNUR",#N/A,#N/A,1,#N/A
ZA8297,08-04-2017,"UDAYA MEDICALS, PANDALAM",#N/A,#N/A,#N/A,1
ZA8312,08-04-2017,"ASWAS COMMUNITY PHARMACY, ADOOR",#N/A,#N/A,#N/A,1
ZA8303,08-04-2017,"NEETHI MEDICALS, NEAR COLLEGE JN ",#N/A,#N/A,#N/A,1
ZA8288,08-04-2017,"THUSHARA MEDICALS, PANDALAM",#N/A,#N/A,#N/A,1
ZA8300,08-04-2017,"K.K DRUG HOUSE, ADOOR",#N/A,#N/A,#N/A,1
ZA8311,08-04-2017,"APPOLO MEDICALS, ADOOR",#N/A,#N/A,#N/A,1
ZA8282,08-04-2017,"THE UNIVERSAL MEDICAL STORES, CHENGANOOR",#N/A,#N/A,#N/A,1
ZA8290,08-04-2017,"ZZZNEETHI MEDICAL STORE, ",#N/A,#N/A,#N/A,1
ZA8314,08-04-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,#N/A,#N/A,1
ZA8285,08-04-2017,"ATTILETHU  MEDICALS, KULANADA",#N/A,#N/A,#N/A,1
ZA8302,08-04-2017,"PUTHENVILAYIL MEDICALS, PANDALAM",#N/A,#N/A,#N/A,1
ZA8313,08-04-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,#N/A,#N/A,1
ZA8307,08-04-2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8310,08-04-2017,"KIZHAKINATH MEDICALS, PAIPPAD",#N/A,#N/A,#N/A,1
ZA8309,08-04-2017,"AMBALATHINKAL MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8291,08-04-2017,"MARIA HOSPITAL, ADOOR",#N/A,#N/A,#N/A,1
ZA8299,08-04-2017,"SOUTHERN MEDICALS, KOZHENCHERY",#N/A,#N/A,#N/A,1
ZA8304,08-04-2017,"RELIEF MEDICALS & SURGICALS, CHENGANOOR",#N/A,#N/A,#N/A,1
ZA8301,08-04-2017,"LEKSHMI MEDICALS, KUTOOR",#N/A,#N/A,#N/A,1
ZA8306,08-04-2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8298,08-04-2017,"JOSE & SONS MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8293,08-04-2017,"K.R.MEDICALS, KALLISSERY",#N/A,#N/A,#N/A,1
ZA8308,08-04-2017,"AMIL MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8284,08-04-2017,"KULATHINKAROTTU MEDICALS, ADOOR",0,0,0,0
ZA8336,10-04-2017,"MGM MUTHOOT MEDICAL CENTER PRIVATE LTD., PATHENAMTHITTA",#N/A,#N/A,#N/A,1
ZA8330,10-04-2017,"HOLY CROSS HOSPITAL, ADOOR",#N/A,#N/A,#N/A,1
ZA8332,10-04-2017,"AMIL MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8321,10-04-2017,"BHAGAVATH MEDICALS, THIRUVALLA",#N/A,#N/A,1,#N/A
ZA8325,10-04-2017,"MATTAPARAMPIL MEDICALS, CHANGANASSERY",#N/A,#N/A,#N/A,1
ZA8327,10-04-2017,"THOMSON MEDICALS, THENGANA",#N/A,#N/A,#N/A,1
ZA8333,10-04-2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8335,10-04-2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8329,10-04-2017,"NEETHI MEDICALS, NEAR MUNICIPAL JN",#N/A,#N/A,#N/A,1
ZA8334,10-04-2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8319,10-04-2017,"THE UNIVERSAL MEDICAL STORES, CHENGANOOR",#N/A,#N/A,#N/A,1
ZA8323,10-04-2017,"KANNAMPALLIL MEDICALS, THENGANA",#N/A,#N/A,#N/A,1
ZA8317,10-04-2017,"DR.CHACKO (BETSETHA(H), VALLAMKULAM",#N/A,#N/A,#N/A,1
ZA8328,10-04-2017,"NEETHI MEDICALS, NEAR MUNICIPAL JN",#N/A,#N/A,#N/A,1
ZA8322,10-04-2017,"LOURDU MATHA HOSPITAL, PACHA",#N/A,#N/A,#N/A,1
ZA8318,10-04-2017,"S.D MEDICALS, CHENGANNUR",#N/A,#N/A,#N/A,1
ZA8326,10-04-2017,"ASWAS MEDICALS, KURISHUMMOODU",#N/A,#N/A,#N/A,1
ZA8337,10-04-2017,"THOMSON MEDICALS, TIRUVALLA",#N/A,#N/A,#N/A,1
ZA8320,10-04-2017,"SOUTHERN DRUG HOUSE, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8324,10-04-2017,"JESWIN MEDICALS, THENGANA",#N/A,#N/A,#N/A,1
ZA8331,10-04-2017,"ORANGE MEDICALS, KADAPRA",#N/A,#N/A,#N/A,1
ZA8316,10-04-2017,"T & T MEDICALS, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8373,11-04-2017,"MODERN DRUG HOUSE, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8387,11-04-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,#N/A,1,#N/A
ZA8389,11-04-2017,"NEETHI MEDICALS, THENGANA",#N/A,#N/A,1,#N/A
ZA8383,11-04-2017,"PENCOS MEDICALS, CHENGANOOR",#N/A,#N/A,#N/A,1
ZA8386,11-04-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,#N/A,1,#N/A
ZA8384,11-04-2017,"KALLATHUCHIRAYIL MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8341,11-04-2017,"FELLOWSHIP MISSION HOSPITAL, KUMBANAD",#N/A,#N/A,#N/A,1
ZA8348,11-04-2017,"NEETHI MEDICALS, ERAVIPEROOR  SCB",#N/A,#N/A,#N/A,1
ZA8375,11-04-2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8360,11-04-2017,"MADAPPALLIL MEDICALS, OPPOSITE GOVT.HOSPITAL",#N/A,#N/A,#N/A,1
ZA8393,11-04-2017,"NITHIN MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8391,11-04-2017,"MODERN PHARMACY, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8381,11-04-2017,"ST.THOMAS MEDICALS, VENMONY",#N/A,#N/A,#N/A,1
ZA8363,11-04-2017,"PRATHIBHA MEDICALS, VECHOOCHIRA",#N/A,#N/A,#N/A,1
ZA8377,11-04-2017,"PULIMOOTTIL MEDICALS, KUTTOOR",#N/A,#N/A,1,#N/A
ZA8394,11-04-2017,"MED CARE PHARMACY, KAVUMBHAGUM",#N/A,#N/A,#N/A,1
ZA8361,11-04-2017,"PREETHI MEDICALS, ELENTHOOR",#N/A,#N/A,#N/A,1
ZA8356,11-04-2017,"MANNAR MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8340,11-04-2017,"NEETHY MEDICAL STORE, PULLAD",#N/A,#N/A,#N/A,1
ZA8369,11-04-2017,"M.G.M. MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8392,11-04-2017,"CHERUPUSHPAM J.J. MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8347,11-04-2017,"T & T MEDICALS, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8358,11-04-2017,"MUTTUMON MEDICALS, KUMBANAD",#N/A,#N/A,#N/A,1
ZA8385,11-04-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,#N/A,#N/A,1
ZA8388,11-04-2017,"NEETHI MEDICALS, THENGANA",#N/A,#N/A,#N/A,1
ZA8367,11-04-2017,"MGM MUTHOOT MEDICAL CENTER PRIVATE LTD., PATHENAMTHITTA",#N/A,#N/A,#N/A,1
ZA8378,11-04-2017,"NEETHI MEDICAL STORE, KUMBANADU",#N/A,#N/A,#N/A,1
ZA8379,11-04-2017,"PULOOR DRUG HOUSE, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8344,11-04-2017,"VETTATHARA MEDICALS, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8396,11-04-2017,"CENTURY HOSPITAL, CENTRAL TRAVANCORE SPECIALISTS ",#N/A,#N/A,#N/A,1
ZA8343,11-04-2017,"POYANIL HOSPITAL, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8390,11-04-2017,"PUSHPAGIRI MEDICAL SOCIETY, PUSHPAGIRI MEDICAL COLLEGE",#N/A,#N/A,#N/A,1
ZA8364,11-04-2017,"FRIENDS MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8357,11-04-2017,"TRAVANCORE MEDICALS, PULLAD",#N/A,#N/A,#N/A,1
ZA8376,11-04-2017,"ST.LUKE HOSPITAL, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8345,11-04-2017,"JAYA MEDICALS, POOVATHOOR",#N/A,#N/A,#N/A,1
ZA8355,11-04-2017,"SAM MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8365,11-04-2017,"S.D MEDICALS, CHENGANNUR",#N/A,#N/A,#N/A,1
ZA8339,11-04-2017,"SONIA MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8382,11-04-2017,"PAZHANJIYIL MEDICALS, KOZHENCHERY",#N/A,#N/A,#N/A,1
ZA8354,11-04-2017,"TRAVANCORE MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8352,11-04-2017,"JACOBS MEDICALS, KUMBANAD",#N/A,#N/A,#N/A,1
ZA8359,11-04-2017,"DEEPTHI MEDICALS, KAYAMKULAM",#N/A,#N/A,#N/A,1
ZA8351,11-04-2017,"ATHIRA MEDICALS, PALLIPADI, KARAKKAD",#N/A,#N/A,#N/A,1
ZA8370,11-04-2017,"MOOTHEDATHU MEDICALS, ERAVIPEROOR",#N/A,#N/A,#N/A,1
ZA8368,11-04-2017,"JINI MEDICALS, MARAMON",#N/A,#N/A,#N/A,1
ZA8353,11-04-2017,"MAMMARAPALLIL MEDICALS, PULLAD ",#N/A,#N/A,#N/A,1
ZA8395,11-04-2017,"DR.P T SHAJI, PAIPPAD",#N/A,#N/A,#N/A,1
ZA8404,12-04-2017,"KANNAMPALLIL MEDICALS, THENGANA",#N/A,#N/A,1,#N/A
ZA8411,12-04-2017,"KOTTARATHIL MEDICALS, RANNY",#N/A,#N/A,#N/A,1
ZA8403,12-04-2017,"ST.GREGORIOUS HOSPITAL, PARUMALA",#N/A,#N/A,#N/A,1
ZA8398,12-04-2017,"NEETHI MEDICALS, ERAVIPEROOR  SCB",#N/A,#N/A,#N/A,1
ZA8401,12-04-2017,"AISWARYA MEDICALS, KUTOOR",#N/A,#N/A,#N/A,1
ZA8405,12-04-2017,"JAI MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8400,12-04-2017,"UDAYAGIRI HOSPITAL, CHANGANACHERRY",#N/A,#N/A,#N/A,1
ZA8397,12-04-2017,"MENAMTHOTTAM HOSPITAL, RANNY",#N/A,#N/A,#N/A,1
ZA8402,12-04-2017,"AMIL MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8399,12-04-2017,"BHADRA MEDICALS, NEERATTUPURAM",#N/A,#N/A,#N/A,1
ZA8452,13-04-2017,"PUSHPAGIRI MEDICAL SOCIETY, PUSHPAGIRI MEDICAL COLLEGE",#N/A,#N/A,1,#N/A
ZA8429,13-04-2017,"PUNNON LIFECARE MEDICALS, COURT ROAD,CHENGANOOR",#N/A,#N/A,1,#N/A
ZA8438,13-04-2017,"DEEPTHI MEDICALS, MANNAR",#N/A,#N/A,#N/A,1
ZA8420,13-04-2017,"ZZZNEETHI MEDICAL STORE, ",#N/A,#N/A,#N/A,1
ZA8440,13-04-2017,"KARUNYA MEDICALS, CHENGANOOR",#N/A,#N/A,#N/A,1
ZA8435,13-04-2017,"LEKSHMI MEDICALS, KUTOOR",#N/A,#N/A,#N/A,1
ZA8421,13-04-2017,"KARUNYA MEDICALS, ADOOR",#N/A,#N/A,#N/A,1
ZA8451,13-04-2017,"ANJALI MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8419,13-04-2017,"NEETHI MEDICAL STORE, CENTRAL ADOOR",#N/A,#N/A,#N/A,1
ZA8448,13-04-2017,"DELIGHT'S MEDICALS, CHENGANNUR",#N/A,#N/A,#N/A,1
ZA8415,13-04-2017,"S.N.MEDICALS, KADAPRA",#N/A,#N/A,#N/A,1
ZA8423,13-04-2017,"UDAYA MEDICALS, PANDALAM",#N/A,#N/A,#N/A,1
ZA8410,13-04-2017,"ST.THOMAS MEDICALS, RANNY",#N/A,#N/A,#N/A,1
ZA8408,13-04-2017,"BETHEL MEDICALS, THADIYOOR",#N/A,#N/A,#N/A,1
ZA8409,13-04-2017,"SOORAJ MEDICALS, PLANKAMON",#N/A,#N/A,#N/A,1
ZA8441,13-04-2017,"ATTILETHU  MEDICALS, KULANADA",#N/A,#N/A,#N/A,1
ZA8417,13-04-2017,"CARMEL ASHRAYA MEDICALS, KODIYATTU BUILDINGS,",#N/A,#N/A,#N/A,1
ZA8426,13-04-2017,"USHA HOSPITAL, CHENGANNOOR",#N/A,#N/A,#N/A,1
ZA8436,13-04-2017,"VAZHAPLAVIL MEDICALS, PANDALAM",#N/A,#N/A,#N/A,1
ZA8444,13-04-2017,"PUTHENVILAYIL MEDICALS, PANDALAM",#N/A,#N/A,#N/A,1
ZA8446,13-04-2017,"MARANGAT MEDICALS, KAVUMBHAGOM",#N/A,#N/A,#N/A,1
ZA8406,13-04-2017,"PUTHANPARAMBIL MEDICALS, PURAMATTOM",#N/A,#N/A,#N/A,1
ZA8450,13-04-2017,"DR.PHILIP MATHEW, ST.THOMAS M S DENTAL CLINIC",#N/A,#N/A,#N/A,1
ZA8443,13-04-2017,"S.D MEDICALS, CHENGANNUR",#N/A,#N/A,#N/A,1
ZA8442,13-04-2017,"K.R.MEDICALS, KALLISSERY",#N/A,#N/A,#N/A,1
ZA8437,13-04-2017,"AISWARYA MEDICALS, KUTOOR",#N/A,#N/A,#N/A,1
ZA8430,13-04-2017,"PADAPARAMBIL MEDICALS, PURAMATTOM",#N/A,#N/A,#N/A,1
ZA8425,13-04-2017,"SOUTHERN DRUG HOUSE, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8431,13-04-2017,"THUSHARA MEDICALS, PANDALAM",#N/A,#N/A,#N/A,1
ZA8453,13-04-2017,"AMBALATHINKAL MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8454,17-04-2017,"PUSHPAGIRI MEDICAL SOCIETY, PUSHPAGIRI MEDICAL COLLEGE",#N/A,#N/A,1,#N/A
ZA8458,17-04-2017,"HOLY CROSS HOSPITAL, ADOOR",#N/A,#N/A,#N/A,1
